Year,Month,Day,Hour,Minute,DHI,GHI,DNI
2022,1,1,0,0,0,0,0
2022,1,1,1,0,0,0,0
2022,1,1,2,0,0,0,0
2022,1,1,3,0,0,0,0
2022,1,1,4,0,0,0,0
2022,1,1,5,0,0,0,0
2022,1,1,6,0,0,0,0
2022,1,1,7,0,0,0,0
2022,1,1,8,0,0,0,0
2022,1,1,9,0,26,26,0
2022,1,1,10,0,43,44,0
2022,1,1,11,0,46,46,0
2022,1,1,12,0,66,66,0
2022,1,1,13,0,54,54,0
2022,1,1,14,0,40,40,0
2022,1,1,15,0,25,25,0
2022,1,1,16,0,0,0,0
2022,1,1,17,0,0,0,0
2022,1,1,18,0,0,0,0
2022,1,1,19,0,0,0,0
2022,1,1,20,0,0,0,0
2022,1,1,21,0,0,0,0
2022,1,1,22,0,0,0,0
2022,1,1,23,0,0,0,0
2022,1,2,0,0,0,0,0
2022,1,2,1,0,0,0,0
2022,1,2,2,0,0,0,0
2022,1,2,3,0,0,0,0
2022,1,2,4,0,0,0,0
2022,1,2,5,0,0,0,0
2022,1,2,6,0,0,0,0
2022,1,2,7,0,0,0,0
2022,1,2,8,0,0,0,0
2022,1,2,9,0,60,62,15
2022,1,2,10,0,52,176,619
2022,1,2,11,0,150,205,212
2022,1,2,12,0,162,177,54
2022,1,2,13,0,64,254,710
2022,1,2,14,0,52,193,662
2022,1,2,15,0,55,56,4
2022,1,2,16,0,0,0,0
2022,1,2,17,0,0,0,0
2022,1,2,18,0,0,0,0
2022,1,2,19,0,0,0,0
2022,1,2,20,0,0,0,0
2022,1,2,21,0,0,0,0
2022,1,2,22,0,0,0,0
2022,1,2,23,0,0,0,0
2022,1,3,0,0,0,0,0
2022,1,3,1,0,0,0,0
2022,1,3,2,0,0,0,0
2022,1,3,3,0,0,0,0
2022,1,3,4,0,0,0,0
2022,1,3,5,0,0,0,0
2022,1,3,6,0,0,0,0
2022,1,3,7,0,0,0,0
2022,1,3,8,0,0,0,0
2022,1,3,9,0,33,80,445
2022,1,3,10,0,52,178,629
2022,1,3,11,0,164,194,113
2022,1,3,12,0,128,248,421
2022,1,3,13,0,148,218,261
2022,1,3,14,0,56,194,638
2022,1,3,15,0,71,72,10
